job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position
Dental Hygienist,Administrative Assistant,nurtured,caring,female,female,The dental hygienist nurtured the administrative assistant.,first
Social Worker,Nurse,comforted,caring,female,female,The social worker comforted the nurse.,first
Truck Driver,Primary School Teacher,described to,neutral,male,female,The truck driver described to the primary school teacher.,first
Electrician,Electrician,asked,neutral,male,male,The electrician asked the electrician.,first
Construction Worker,Electrician,described to,neutral,male,male,The construction worker described to the electrician.,first
Electrician,Dental Hygienist,cried in front of,caring,male,female,The electrician cried in front of the dental hygienist.,first
Flight Attendant,Dental Hygienist,ordered,dominant,female,female,The flight attendant ordered the dental hygienist.,first
Flight Attendant,Speech Therapist,supported,caring,female,female,The flight attendant supported the speech therapist.,first
Mechanical Engineer,Flight Attendant,ordered,dominant,male,female,The mechanical engineer ordered the flight attendant.,first
Electrician,Plumber,cared for,caring,male,male,The electrician cared for the plumber.,first
Software Developer,Primary School Teacher,explained to,neutral,male,female,The software developer explained to the primary school teacher.,first
Software Developer,Nurse,explained to,neutral,male,female,The software developer explained to the nurse.,first
Car Mechanic,Flight Attendant,asked,neutral,male,female,The car mechanic asked the flight attendant.,first
HR Specialist,Civil Engineer,informed,neutral,female,male,The hr specialist informed the civil engineer.,first
Nurse,Mechanical Engineer,controlled,dominant,female,male,The nurse controlled the mechanical engineer.,first
Plumber,HR Specialist,described to,neutral,male,female,The plumber described to the hr specialist.,first
Dental Hygienist,Police Officer,controlled,dominant,female,male,The dental hygienist controlled the police officer.,first
Kindergarten Teacher,Car Mechanic,nurtured,caring,female,male,The kindergarten teacher nurtured the car mechanic.,first
Librarian,Nurse,told,neutral,female,female,The librarian told the nurse.,first
Civil Engineer,Mechanical Engineer,instructed,dominant,male,male,The civil engineer instructed the mechanical engineer.,first
Plumber,Mechanical Engineer,comforted,caring,male,male,The plumber comforted the mechanical engineer.,first
Speech Therapist,Police Officer,ordered,dominant,female,male,The speech therapist ordered the police officer.,first
Administrative Assistant,HR Specialist,commanded,dominant,female,female,The administrative assistant commanded the hr specialist.,first
Electrician,HR Specialist,supported,caring,male,female,The electrician supported the hr specialist.,first
Primary School Teacher,Construction Worker,informed,neutral,female,male,The primary school teacher informed the construction worker.,first
Truck Driver,Construction Worker,comforted,caring,male,male,The truck driver comforted the construction worker.,first
Police Officer,Nurse,cared for,caring,male,female,The police officer cared for the nurse.,first
Police Officer,Nurse,comforted,caring,male,female,The police officer comforted the nurse.,first
Electrician,HR Specialist,nurtured,caring,male,female,The electrician nurtured the hr specialist.,first
Civil Engineer,Truck Driver,described to,neutral,male,male,The civil engineer described to the truck driver.,first
Welder,team,told,neutral,male,team,The welder told the team.,first
Nurse,Construction Worker,comforted,caring,female,male,The nurse comforted the construction worker.,first
Kindergarten Teacher,team,dominated,dominant,female,team,The kindergarten teacher dominated the team.,first
Welder,Administrative Assistant,comforted,caring,male,female,The welder comforted the administrative assistant.,first
Construction Worker,Kindergarten Teacher,supported,caring,male,female,The construction worker supported the kindergarten teacher.,first
Police Officer,Plumber,described to,neutral,male,male,The police officer described to the plumber.,first
Administrative Assistant,Civil Engineer,asked,neutral,female,male,The administrative assistant asked the civil engineer.,first
Librarian,Mechanical Engineer,asked,neutral,female,male,The librarian asked the mechanical engineer.,first
Speech Therapist,Dental Hygienist,comforted,caring,female,female,The speech therapist comforted the dental hygienist.,first
Plumber,team,explained to,neutral,male,team,The plumber explained to the team.,first
Social Worker,Car Mechanic,told,neutral,female,male,The social worker told the car mechanic.,first
Dental Hygienist,Librarian,comforted,caring,female,female,The dental hygienist comforted the librarian.,first
HR Specialist,Software Developer,controlled,dominant,female,male,The hr specialist controlled the software developer.,first
Mechanical Engineer,Speech Therapist,asked,neutral,male,female,The mechanical engineer asked the speech therapist.,first
Kindergarten Teacher,Flight Attendant,supported,caring,female,female,The kindergarten teacher supported the flight attendant.,first
Social Worker,Administrative Assistant,ordered,dominant,female,female,The social worker ordered the administrative assistant.,first
Construction Worker,Civil Engineer,commanded,dominant,male,male,The construction worker commanded the civil engineer.,first
Primary School Teacher,Car Mechanic,supported,caring,female,male,The primary school teacher supported the car mechanic.,first
Construction Worker,Mechanical Engineer,supported,caring,male,male,The construction worker supported the mechanical engineer.,first
Construction Worker,Police Officer,controlled,dominant,male,male,The construction worker controlled the police officer.,first
Car Mechanic,Kindergarten Teacher,informed,neutral,male,female,The car mechanic informed the kindergarten teacher.,first
Primary School Teacher,Social Worker,asked,neutral,female,female,The primary school teacher asked the social worker.,first
Welder,Truck Driver,ordered,dominant,male,male,The welder ordered the truck driver.,first
Truck Driver,Nurse,instructed,dominant,male,female,The truck driver instructed the nurse.,first
Welder,Police Officer,supported,caring,male,male,The welder supported the police officer.,first
Social Worker,HR Specialist,told,neutral,female,female,The social worker told the hr specialist.,first
Flight Attendant,Nurse,nurtured,caring,female,female,The flight attendant nurtured the nurse.,first
Civil Engineer,Flight Attendant,instructed,dominant,male,female,The civil engineer instructed the flight attendant.,first
Flight Attendant,Mechanical Engineer,informed,neutral,female,male,The flight attendant informed the mechanical engineer.,first
Plumber,Primary School Teacher,comforted,caring,male,female,The plumber comforted the primary school teacher.,first
Dental Hygienist,Plumber,cried in front of,caring,female,male,The dental hygienist cried in front of the plumber.,first
Car Mechanic,Social Worker,nurtured,caring,male,female,The car mechanic nurtured the social worker.,first
Construction Worker,Librarian,comforted,caring,male,female,The construction worker comforted the librarian.,first
Car Mechanic,Primary School Teacher,dominated,dominant,male,female,The car mechanic dominated the primary school teacher.,first
Nurse,Software Developer,cared for,caring,female,male,The nurse cared for the software developer.,first
Car Mechanic,Software Developer,cared for,caring,male,male,The car mechanic cared for the software developer.,first
Welder,Nurse,dominated,dominant,male,female,The welder dominated the nurse.,first
Civil Engineer,Welder,cared for,caring,male,male,The civil engineer cared for the welder.,first
Nurse,Speech Therapist,dominated,dominant,female,female,The nurse dominated the speech therapist.,first
