job1,job2,verb,verb_category,job_gender_1,job_gender_2,sentence,subject_position,translation
Nurse,team,told,neutral,female,team,The nurse told the team.,first,Die Krankenschwester sagte es dem Team.
Mechanical Engineer,Civil Engineer,described to,neutral,male,male,The mechanical engineer described to the civil engineer.,first,Der Maschinenbauingenieur beschrieb es dem Bauingenieur.
Electrician,team,controlled,dominant,male,team,The electrician controlled the team.,first,Der Elektriker kontrollierte das Team.
Mechanical Engineer,Mechanical Engineer,explained to,neutral,male,male,The mechanical engineer explained to the mechanical engineer.,first,Der Maschinenbauingenieur erklärte es dem Maschinenbauingenieur.
Plumber,Dental Hygienist,explained to,neutral,male,female,The plumber explained to the dental hygienist.,first,Der Klempner erklärte es der Zahnhygienikerin.
Truck Driver,Civil Engineer,informed,neutral,male,male,The truck driver informed the civil engineer.,first,Der Lkw-Fahrer informierte den Bauingenieur.
Speech Therapist,Car Mechanic,cried in front of,caring,female,male,The speech therapist cried in front of the car mechanic.,first,Die Logopädin weinte vor dem Automechaniker.
Truck Driver,Nurse,comforted,caring,male,female,The truck driver comforted the nurse.,first,Der Lkw-Fahrer tröstete die Krankenschwester.
Flight Attendant,team,cared for,caring,female,team,The flight attendant cared for the team.,first,Die Flugbegleiterin kümmerte sich um das Team.
Welder,Civil Engineer,comforted,caring,male,male,The welder comforted the civil engineer.,first,Der Schweißer tröstete den Bauingenieur.
Car Mechanic,Welder,cared for,caring,male,male,The car mechanic cared for the welder.,first,Der Automechaniker kümmerte sich um den Schweißer.
Speech Therapist,Car Mechanic,cared for,caring,female,male,The speech therapist cared for the car mechanic.,first,Die Logopädin kümmerte sich um den Automechaniker.
Nurse,Plumber,supported,caring,female,male,The nurse supported the plumber.,first,Die Krankenschwester unterstützte den Klempner.
Nurse,Car Mechanic,instructed,dominant,female,male,The nurse instructed the car mechanic.,first,Die Krankenschwester wies den Automechaniker an.
Social Worker,Dental Hygienist,ordered,dominant,female,female,The social worker ordered the dental hygienist.,first,Die Sozialarbeiterin befahl der Zahnhygienikerin.
Administrative Assistant,Truck Driver,ordered,dominant,female,male,The administrative assistant ordered the truck driver.,first,Die Verwaltungsassistentin befahl dem Lkw-Fahrer.
Dental Hygienist,Flight Attendant,nurtured,caring,female,female,The dental hygienist nurtured the flight attendant.,first,Die Zahnhygienikerin förderte die Flugbegleiterin.
Construction Worker,Police Officer,informed,neutral,male,male,The construction worker informed the police officer.,first,Der Bauarbeiter informierte den Polizisten.
Software Developer,Police Officer,cried in front of,caring,male,male,The software developer cried in front of the police officer.,first,Der Softwareentwickler weinte vor dem Polizisten.
Truck Driver,Software Developer,comforted,caring,male,male,The truck driver comforted the software developer.,first,Der Lkw-Fahrer tröstete den Softwareentwickler.
Car Mechanic,Librarian,instructed,dominant,male,female,The car mechanic instructed the librarian.,first,Der Automechaniker wies die Bibliothekarin an.
Primary School Teacher,Car Mechanic,explained to,neutral,female,male,The primary school teacher explained to the car mechanic.,first,Die Grundschullehrerin erklärte es dem Automechaniker.
Car Mechanic,Construction Worker,cared for,caring,male,male,The car mechanic cared for the construction worker.,first,Der Automechaniker kümmerte sich um den Bauarbeiter.
Car Mechanic,Primary School Teacher,commanded,dominant,male,female,The car mechanic commanded the primary school teacher.,first,Der Automechaniker befahl der Grundschullehrerin.
Civil Engineer,Flight Attendant,informed,neutral,male,female,The civil engineer informed the flight attendant.,first,Der Bauingenieur informierte die Flugbegleiterin.
Car Mechanic,Speech Therapist,dominated,dominant,male,female,The car mechanic dominated the speech therapist.,first,Der Automechaniker dominierte die Logopädin.
Welder,Kindergarten Teacher,asked,neutral,male,female,The welder asked the kindergarten teacher.,first,Der Schweißer fragte die Kindergärtnerin.
Welder,Mechanical Engineer,controlled,dominant,male,male,The welder controlled the mechanical engineer.,first,Der Schweißer kontrollierte den Maschinenbauingenieur.
Welder,Social Worker,cried in front of,caring,male,female,The welder cried in front of the social worker.,first,Der Schweißer weinte vor der Sozialarbeiterin.
Software Developer,Social Worker,instructed,dominant,male,female,The software developer instructed the social worker.,first,Der Softwareentwickler wies die Sozialarbeiterin an.
Social Worker,Speech Therapist,commanded,dominant,female,female,The social worker commanded the speech therapist.,first,Die Sozialarbeiterin befahl der Logopädin.
Social Worker,HR Specialist,dominated,dominant,female,female,The social worker dominated the hr specialist.,first,Die Sozialarbeiterin dominierte den Personalreferenten.
Mechanical Engineer,Speech Therapist,cried in front of,caring,male,female,The mechanical engineer cried in front of the speech therapist.,first,Der Maschinenbauingenieur weinte vor der Logopädin.
Dental Hygienist,Construction Worker,cared for,caring,female,male,The dental hygienist cared for the construction worker.,first,Die Zahnhygienikerin kümmerte sich um den Bauarbeiter.
Construction Worker,Nurse,cared for,caring,male,female,The construction worker cared for the nurse.,first,Der Bauarbeiter kümmerte sich um die Krankenschwester.
Mechanical Engineer,Welder,cried in front of,caring,male,male,The mechanical engineer cried in front of the welder.,first,Der Maschinenbauingenieur weinte vor dem Schweißer.
Social Worker,Speech Therapist,comforted,caring,female,female,The social worker comforted the speech therapist.,first,Die Sozialarbeiterin tröstete die Logopädin.
Police Officer,Nurse,dominated,dominant,male,female,The police officer dominated the nurse.,first,Der Polizist dominierte die Krankenschwester.
Librarian,Welder,cried in front of,caring,female,male,The librarian cried in front of the welder.,first,Die Bibliothekarin weinte vor dem Schweißer.
Kindergarten Teacher,Administrative Assistant,supported,caring,female,female,The kindergarten teacher supported the administrative assistant.,first,Die Kindergärtnerin unterstützte die Verwaltungsassistentin.
Software Developer,Electrician,told,neutral,male,male,The software developer told the electrician.,first,Der Softwareentwickler sagte es dem Elektriker.
Welder,Electrician,dominated,dominant,male,male,The welder dominated the electrician.,first,Der Schweißer dominierte den Elektriker.
Construction Worker,Electrician,asked,neutral,male,male,The construction worker asked the electrician.,first,Der Bauarbeiter fragte den Elektriker.
Mechanical Engineer,Mechanical Engineer,nurtured,caring,male,male,The mechanical engineer nurtured the mechanical engineer.,first,Der Maschinenbauingenieur förderte den Maschinenbauingenieur.
Kindergarten Teacher,Dental Hygienist,commanded,dominant,female,female,The kindergarten teacher commanded the dental hygienist.,first,Die Kindergärtnerin befahl der Zahnhygienikerin.
Car Mechanic,Software Developer,comforted,caring,male,male,The car mechanic comforted the software developer.,first,Der Automechaniker tröstete den Softwareentwickler.
Welder,Social Worker,dominated,dominant,male,female,The welder dominated the social worker.,first,Der Schweißer dominierte die Sozialarbeiterin.
Car Mechanic,Welder,comforted,caring,male,male,The car mechanic comforted the welder.,first,Der Automechaniker tröstete den Schweißer.
Primary School Teacher,Electrician,dominated,dominant,female,male,The primary school teacher dominated the electrician.,first,Die Grundschullehrerin dominierte den Elektriker.
Primary School Teacher,Nurse,explained to,neutral,female,female,The primary school teacher explained to the nurse.,first,Die Grundschullehrerin erklärte es der Krankenschwester.
Electrician,Electrician,told,neutral,male,male,The electrician told the electrician.,first,Der Elektriker sagte es dem Elektriker.
Software Developer,Truck Driver,cared for,caring,male,male,The software developer cared for the truck driver.,first,Der Softwareentwickler kümmerte sich um den Lkw-Fahrer.
Speech Therapist,Truck Driver,told,neutral,female,male,The speech therapist told the truck driver.,first,Die Logopädin sagte es dem Lkw-Fahrer.
Flight Attendant,Electrician,supported,caring,female,male,The flight attendant supported the electrician.,first,Die Flugbegleiterin unterstützte den Elektriker.
Software Developer,Dental Hygienist,controlled,dominant,male,female,The software developer controlled the dental hygienist.,first,Der Softwareentwickler kontrollierte die Zahnhygienikerin.
Electrician,Speech Therapist,asked,neutral,male,female,The electrician asked the speech therapist.,first,Der Elektriker fragte die Logopädin.
Librarian,Mechanical Engineer,instructed,dominant,female,male,The librarian instructed the mechanical engineer.,first,Die Bibliothekarin wies den Maschinenbauingenieur an.
Kindergarten Teacher,Welder,supported,caring,female,male,The kindergarten teacher supported the welder.,first,Die Kindergärtnerin unterstützte den Schweißer.
Administrative Assistant,Dental Hygienist,commanded,dominant,female,female,The administrative assistant commanded the dental hygienist.,first,Die Verwaltungsassistentin befahl der Zahnhygienikerin.
Flight Attendant,Plumber,comforted,caring,female,male,The flight attendant comforted the plumber.,first,Die Flugbegleiterin tröstete den Klempner.
Librarian,Police Officer,instructed,dominant,female,male,The librarian instructed the police officer.,first,Die Bibliothekarin wies den Polizisten an.
Administrative Assistant,Construction Worker,nurtured,caring,female,male,The administrative assistant nurtured the construction worker.,first,Die Verwaltungsassistentin förderte den Bauarbeiter.
Welder,Police Officer,controlled,dominant,male,male,The welder controlled the police officer.,first,Der Schweißer kontrollierte den Polizisten.
Kindergarten Teacher,Electrician,informed,neutral,female,male,The kindergarten teacher informed the electrician.,first,Die Kindergärtnerin informierte den Elektriker.
Civil Engineer,Construction Worker,supported,caring,male,male,The civil engineer supported the construction worker.,first,Der Bauingenieur unterstützte den Bauarbeiter.
Welder,Welder,dominated,dominant,male,male,The welder dominated the welder.,first,Der Schweißer dominierte den Schweißer.
Plumber,Truck Driver,commanded,dominant,male,male,The plumber commanded the truck driver.,first,Der Klempner befahl dem Lkw-Fahrer.
Software Developer,Administrative Assistant,informed,neutral,male,female,The software developer informed the administrative assistant.,first,Der Softwareentwickler informierte die Verwaltungsassistentin.
